Width,Length,Depth,Sand,Silt,Clay,Type
1,1,1,0.5,0.2,0.3,SANDY LOAM
2,1,1,0.5,0.2,0.3,SANDY LOAM
3,1,1,0.4,0.3,0.3,OTHER
4,1,1,0.4,0.35,0.25,OTHER
5,1,1,0.4,0.5,0.1,OTHER
6,1,1,0.4,0.6,0,SILTY LOAM
7,1,1,0.4,0.6,0,SILTY LOAM
1,2,1,0.5,0.2,0.3,SANDY LOAM
2,2,1,0.5,0.2,0.3,SANDY LOAM
3,2,1,0.4,0.25,0.35,OTHER
4,2,1,0.4,0.4,0.2,OTHER
5,2,1,0.4,0.35,0.25,OTHER
6,2,1,0.4,0.3,0.3,OTHER
7,2,1,0.4,0.3,0.3,OTHER
1,3,1,0.3,0.15,0.55,OTHER
2,3,1,0.3,0.15,0.55,OTHER
3,3,1,0.4,0.2,0.4,OTHER
4,3,1,0.4,0.4,0.2,OTHER
5,3,1,0.2,0.25,0.55,OTHER
6,3,1,0.2,0.25,0.55,OTHER
7,3,1,0.2,0.2,0.6,OTHER
1,4,1,0.3,0.05,0.65,OTHER
2,4,1,0.3,0.1,0.6,OTHER
3,4,1,0.3,0.2,0.5,OTHER
4,4,1,0.3,0.4,0.3,OTHER
5,4,1,0.2,0.2,0.6,OTHER
6,4,1,0.1,0.6,0.3,OTHER
7,4,1,0.1,0.6,0.3,OTHER
1,5,1,0.2,0.05,0.75,OTHER
2,5,1,0.2,0.1,0.7,OTHER
3,5,1,0.3,0.15,0.55,OTHER
4,5,1,0.2,0.3,0.5,OTHER
5,5,1,0.2,0.2,0.6,OTHER
6,5,1,0.1,0.6,0.3,OTHER
7,5,1,0.1,0.6,0.3,OTHER
1,1,2,0.3,0.3,0.4,OTHER
2,1,2,0.3,0.3,0.4,OTHER
3,1,2,0.3,0.3,0.4,OTHER
4,1,2,0.3,0.3,0.4,OTHER
5,1,2,0.2,0.2,0.6,OTHER
6,1,2,0.2,0.2,0.6,OTHER
7,1,2,0.2,0.2,0.6,OTHER
1,2,2,0.3,0.3,0.4,OTHER
2,2,2,0.3,0.3,0.4,OTHER
3,2,2,0.2,0.2,0.6,OTHER
4,2,2,0.2,0.2,0.6,OTHER
5,2,2,0.2,0.3,0.5,OTHER
6,2,2,0.2,0.3,0.5,OTHER
7,2,2,0.2,0.3,0.5,OTHER
1,3,2,0.3,0.2,0.5,OTHER
2,3,2,0.3,0.2,0.5,OTHER
3,3,2,0.2,0.2,0.6,OTHER
4,3,2,0.2,0.3,0.5,OTHER
5,3,2,0.1,0.4,0.5,OTHER
6,3,2,0.1,0.4,0.5,OTHER
7,3,2,0.1,0.4,0.5,OTHER
1,4,2,0.2,0.2,0.6,OTHER
2,4,2,0.2,0.2,0.6,OTHER
3,4,2,0.1,0.2,0.7,OTHER
4,4,2,0.1,0.3,0.6,OTHER
5,4,2,0.1,0.4,0.5,OTHER
6,4,2,0.05,0.5,0.45,OTHER
7,4,2,0.05,0.5,0.45,OTHER
1,5,2,0.1,0.1,0.8,OTHER
2,5,2,0.1,0.1,0.8,OTHER
3,5,2,0.2,0.2,0.6,OTHER
4,5,2,0.1,0.3,0.6,OTHER
5,5,2,0.1,0.4,0.5,OTHER
6,5,2,0.05,0.5,0.45,OTHER
7,5,2,0.05,0.5,0.45,OTHER
1,1,3,0.2,0.2,0.6,OTHER
2,1,3,0.2,0.1,0.7,OTHER
3,1,3,0.2,0.2,0.6,OTHER
4,1,3,0.2,0.35,0.45,OTHER
5,1,3,0.1,0.35,0.55,OTHER
6,1,3,0.1,0.35,0.55,OTHER
7,1,3,0.1,0.35,0.55,OTHER
1,2,3,0.2,0.15,0.65,OTHER
2,2,3,0.2,0.2,0.6,OTHER
3,2,3,0.1,0.3,0.6,OTHER
4,2,3,0.1,0.4,0.5,OTHER
5,2,3,0.1,0.4,0.5,OTHER
6,2,3,0.1,0.4,0.5,OTHER
7,2,3,0.1,0.4,0.5,OTHER
1,3,3,0.2,0.15,0.65,OTHER
2,3,3,0.2,0.2,0.6,OTHER
3,3,3,0.1,0.3,0.6,OTHER
4,3,3,0.1,0.4,0.5,OTHER
5,3,3,0.06,0.5,0.44,OTHER
6,3,3,0.06,0.5,0.44,OTHER
7,3,3,0.06,0.5,0.44,OTHER
1,4,3,0.1,0.1,0.8,OTHER
2,4,3,0.1,0.3,0.6,OTHER
3,4,3,0.06,0.4,0.54,OTHER
4,4,3,0.06,0.5,0.44,OTHER
5,4,3,0.06,0.5,0.44,OTHER
6,4,3,0.02,0.6,0.38,OTHER
7,4,3,0.02,0.6,0.38,OTHER
1,5,3,0.06,0.02,0.92,OTHER
2,5,3,0.06,0.2,0.74,OTHER
3,5,3,0.08,0.4,0.52,OTHER
4,5,3,0.06,0.5,0.44,OTHER
5,5,3,0.06,0.5,0.44,OTHER
6,5,3,0.02,0.6,0.38,OTHER
7,5,3,0.02,0.6,0.38,OTHER
